epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4466,0.77357,1.58889,0.7918,0.99717,0.97166,0.97476,0.8677,0.57957,0.59941,0.7886,0.000475243,0.000475243,0.000475243
2,185.095,0.61594,0.69637,0.78435,0.99893,0.97146,0.97603,0.88325,0.53187,0.41584,0.7867,0.000942156,0.000942156,0.000942156
3,278.632,0.60749,0.51402,0.78048,0.99872,0.97295,0.97667,0.85561,0.6244,0.42613,0.78326,0.00139964,0.00139964,0.00139964
4,447.421,0.61182,0.44065,0.77939,0.99942,0.97242,0.9784,0.88904,0.52474,0.40935,0.78178,0.00138656,0.00138656,0.00138656
5,582.883,0.55912,0.39023,0.77883,0.99932,0.97196,0.97826,0.88138,0.54134,0.39582,0.78524,0.00137241,0.00137241,0.00137241
6,713.011,0.52243,0.36747,0.77418,0.99895,0.97333,0.97861,0.89036,0.50126,0.38569,0.78213,0.00135826,0.00135826,0.00135826
7,817.347,0.52683,0.34797,0.77566,0.99944,0.97262,0.98101,0.90626,0.46852,0.34856,0.78046,0.00134412,0.00134412,0.00134412
8,909.472,0.50017,0.32929,0.77299,0.99897,0.97327,0.9839,0.91689,0.47135,0.353,0.7865,0.00132997,0.00132997,0.00132997
9,1026.38,0.49304,0.32944,0.77381,0.99918,0.97333,0.97972,0.9048,0.44578,0.35028,0.77874,0.00131582,0.00131582,0.00131582
10,1137.03,0.48261,0.31819,0.77364,0.99928,0.97324,0.9792,0.90686,0.44981,0.34014,0.78364,0.00130168,0.00130168,0.00130168
11,1215.03,0.47438,0.3103,0.77355,0.99923,0.97295,0.97989,0.90813,0.4388,0.33554,0.78021,0.00128753,0.00128753,0.00128753
12,1313.07,0.467,0.30738,0.77191,0.99918,0.97293,0.98017,0.90651,0.45436,0.32729,0.77965,0.00127338,0.00127338,0.00127338
13,1412.53,0.45218,0.29904,0.76996,0.9994,0.97309,0.98133,0.92122,0.41857,0.32798,0.77934,0.00125923,0.00125923,0.00125923
14,1509.08,0.44889,0.2893,0.77026,0.99938,0.97303,0.98052,0.91954,0.40664,0.31677,0.77661,0.00124509,0.00124509,0.00124509
15,1613.64,0.44853,0.28892,0.77067,0.99896,0.97284,0.97961,0.91448,0.41266,0.31509,0.77624,0.00123094,0.00123094,0.00123094
16,1693.82,0.4396,0.28846,0.77217,0.999,0.97312,0.98237,0.91812,0.4021,0.30493,0.77847,0.00121679,0.00121679,0.00121679
17,1776.6,0.43884,0.28577,0.76927,0.9991,0.97327,0.9808,0.9148,0.42574,0.32236,0.77579,0.00120265,0.00120265,0.00120265
18,1852.18,0.44243,0.27852,0.77051,0.99853,0.97311,0.97973,0.91935,0.40256,0.31915,0.77699,0.0011885,0.0011885,0.0011885
19,1926.28,0.42772,0.27583,0.77113,0.99953,0.97333,0.98068,0.92067,0.40679,0.3116,0.77944,0.00117435,0.00117435,0.00117435
20,2005.49,0.42781,0.2772,0.7706,0.99943,0.97316,0.98085,0.92278,0.39233,0.30302,0.77666,0.00116021,0.00116021,0.00116021
21,2094.54,0.42351,0.26886,0.77128,0.99947,0.9733,0.98092,0.92698,0.38208,0.29032,0.77707,0.00114606,0.00114606,0.00114606
22,2179.37,0.41447,0.26557,0.76896,0.99903,0.97295,0.9807,0.92914,0.4004,0.30051,0.77876,0.00113191,0.00113191,0.00113191
23,2263.47,0.41129,0.26027,0.76838,0.99957,0.97308,0.98139,0.92027,0.3924,0.29211,0.77642,0.00111776,0.00111776,0.00111776
24,2351.64,0.42232,0.2669,0.76973,0.99934,0.97333,0.98206,0.92665,0.37866,0.28808,0.7769,0.00110362,0.00110362,0.00110362
